startdate,enddate,uid_r,text,gods_involved
12-25,12-25,V005-5,"12/25: The birthday celebration of Jiucha shenghou 纠察圣候. Marionette plays are performed. On these occasions, unless otherwise specified, opera is performed, and Daoist ritual masters are invited to conduct rites. The entire village organizes the ritual together, and funds are collected on a per capita basis.",[]
04-26,04-26,V006-1,"4/26: The birthday celebration of Yanggong taishi 杨公太师. The god goes on procession within Puzi village as well as to the villages of Shanghengshan 上横山 and Xiahengshan 下横山, and Longqian 龙前. Opera is performed. These events are organized by Longquan taishimiao 龙泉太师庙, and funds are collected on a per capita basis.",['Yanggong taishi']
05-20,05-20,V006-2,5/20: The birthday celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
07-16,07-16,V006-3,7/16: The birthday celebration of Sanyi jiaozhu 三一教主.,['Sanyi jiaozhu']
08-23,08-23,V006-4,"8/23: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
03-28,03-28,V007-1,3/28: The birthday celebration of Dongyue zhusheng dadi 东岳注生大帝 is organized by Xiashê 下社.,[]
04-26,04-26,V007-2,"4/26: The birthday celebration of Yanggong taishi 杨公太师. The god goes on procession within the village and to three other nearby villages. Opera is performed. These events are organized by Longquan taishimiao 龙泉太师庙, and funds are collected on a per capita basis.",['Yanggong taishi']
05-19,05-19,V007-3,5/19: The birthday celebration of Chenghuang laoye 城隍老爷 is organized by the village as a whole.,[]
06-06,06-06,V007-4,6/6: The birthday celebration of Fude zhengsheng 福德正神 is organized by Xipai 西牌.,['Fude zhengshen']
08-18,08-18,V007-5,8/18: The birthday celebration of Cuifu dama 崔府大妈 is organized by Shangshê 上社.,['Cuifu dama']
10-20,10-20,V007-6,"10/20: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人is organized by the village as a whole. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. Funds are collected on a per capita basis by the village as a whole, or by the neighborhood organizing the event.","['Houtu furen', 'Zunzhu mingwang']"
04-26,04-26,V008-1,"4/26: The birthday celebration of Yanggong taishi 杨公太师. The god is taken on a procession within the village as well as to the villages of Shanghengshan 上横山, Puzi 莆仔 and Longqian 龙前. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by Longqian taishimiao 龙前太师庙, and funds are collected on a per capita basis.",['Yanggong taishi']
05-21,05-21,V008-2,5/21: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人is organized by the village as a whole.,"['Houtu furen', 'Zunzhu mingwang']"
07-07,07-07,V008-3,7/7: The birthday celebration of Lufu furen 鲁府夫人 is organized by Ciyundong 慈云洞.,['Lufu furen']
07-16,07-16,V008-4,7/16: The birthday celebration of Sanyi jiaozhu 三一教主 is organized by the village as a whole.,['Sanyi jiaozhu']
08-15,08-15,V008-5,8/15: The birthday celebration of Cuifu dama 崔府大妈 is organized by Dongshanfu 东山府.,['Cuifu dama']
09-09,09-09,V008-6,"9/9: The birthday celebration of Dutian yuanshuai 都天元帅 is organized by the village as a whole. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. The village or the temple and its community organizes the event and funds are collected on a per capita basis.",['Dutian yuanshuai']
03-13,03-4,V009-1,3/13–4/16: The birthday celebration of Qianshi shengfei 钱氏圣妃. Opera is performed for four days. This event is organized by the village as a whole.,['Qianshi shengfei']
06-15,06-15,V009-2,6/15: The birthday celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Guolongshê 郭陇社 is organized by the Wang 王. Marionette plays are performed.,"['Houtu furen', 'Zunzhu mingwang']"
07-19,07-21,V009-3,7/19–21: The Chen 陈 organize a pilgrimage to Xiangshangong 香山宫 to invite the goddess Qianshi shengfe 钱氏圣妃 back to the village to watch opera.,[]
08-15,08-15,V009-4,8/15: The birthday celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Xiyuanshê 西园社 is organized by the Zhang 张. Marionette plays are performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V010-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-14,04-14,V010-2,4/14: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V010-3,"7/23: The birthday celebrations for Zhanggong shengjun 张公圣君. Marionette plays are performed. All these events are organized by the village itself, and funds are collected on a per capita basis. Opera is usually performed, and Daoist rites are held.",['Zhanggong shengjun']
03-16,03-4,V011-1,3/16–4/16: The birthday celebration of Qianshi shengfei 钱氏圣妃. A procession is made to Xiangshangong 香山宫 to carry the goddess back to the village to watch the opera.,['Qianshi shengfei']
06-19,06-19,V011-2,6/19: The birthday celebration of Guanyin dashi 观音大士. Marionette plays are performed.,"['Guanyin', 'Guanyin dashi']"
08-15,08-15,V011-3,8/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held 8/23: The birthday celebration of Tiangong yuanshuai 田公元帅.,"['Houtu furen', 'Tiangong', 'Tiangong yuanshuai', 'Zunzhu mingwang']"
09-16,09-16,V011-4,"9/16: The birthday celebration of Sanyi jiaozhu 三一教主 and Wushi xiansheng 吴氏先生 is organized by the Mingdetang 明德堂. Marionette plays are performed. On the larger ritual occasions, opera is performed and Daoist rites are held.","['Sanyi jiaozhu', 'Wushi xiansheng']"
05-13,05-13,V012-1,5/13: The birthday celebration of Sima shengwang 司马圣王. Opera is performed for three days.,['Sima shengwang']
08-01,08-01,V012-2,8/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
05-02,05-02,V013-1,5/2: The birthday celebration of Qianshi shengfei 钱氏圣妃 is held with opera.,['Qianshi shengfei']
08-15,08-15,V013-2,8/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-28,03-28,V014-1,3/28: The birthday celebration of Zhusheng dadi 注生大帝. Opera is performed and Daoist ritual masters perform rites.,['Zhusheng dadi']
04-15,04-15,V014-2,4/15: The birthday celebration of Caofu jiangjun 曹府将军. Opera is performed.,[]
09-16,09-16,V014-3,9/16: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V015-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母 is held. Opera is performed and Daoist ritual masters conduct rites.,['Tianshang shengmu']
09-01,09-01,V015-2,9/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen is held. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-28,03-28,V016-1,3/28: The birthday celebration of Zhusheng dadi 注生大帝.,['Zhusheng dadi']
05-26,05-26,V016-2,5/26: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
02-17,02-17,V017-1,2/17: The birthday celebration of Chen Wenlong 陈文龙.,['Chen Wenlong']
05-19,05-19,V017-2,5/19: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
06-06,06-06,V017-3,6/6: The birthday celebration of Fude zhengshen 福德正神.,['Fude zhengshen']
06-06,06-06,V017-4,Note: the sevenfold ritual alliance of Zhengban hosts a grand birthday celebration of Tudigong 土地公 on 6/6. There are ten days of opera and seven days of movies.,['Tudigong']
10-29,10-29,V017-5,10/29: Laishuiting 来水亭 hosts the Lanpen pudu 兰盆普度 rites of Universal Deliverance every year. Marionette plays are performed.,[]
05-15,05-15,V018-1,5/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
09-15,09-15,V018-2,9/15: The birthday celebration of Tiangong yuanshuai 田公元帅. Opera is performed.,"['Tiangong', 'Tiangong yuanshuai']"
03-28,03-28,V019-1,3/28: The birthday celebration of Dongyue zhusheng dadi 东岳注生大帝 is held with opera performances.,[]
05-19,05-19,V019-2,5/19: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held with opera performances.,"['Houtu furen', 'Zunzhu mingwang']"
06-08,06-08,V020-1,6/8: The celebration of Xu daren 徐大人 is held with opera performances.,['Xu daren']
03-18,03-18,V021-1,3/18: Birthday celebration of Zhusheng dadi 注生大帝. Opera is performed.,['Zhusheng dadi']
05-19,05-19,V021-2,"5/19: Birthday celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Opera performed.","['Houtu furen', 'Zunzhu mingwang']"
08-04,08-04,V022-1,"8/4: Birthday celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Opera is performed.","['Houtu furen', 'Zunzhu mingwang']"
05-19,05-19,V023-1,"5/19: Birthday celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Opera is performed.","['Houtu furen', 'Zunzhu mingwang']"
03-12,03-12,V024-1,3/12: The birthday celebration of Taiyi xiangu 太乙仙姑.,['Taiyi xiangu']
03-13,03-13,V024-2,3/13: The birthday celebration of Qianshi shengfei 钱氏圣妃.,['Qianshi shengfei']
03-15,03-15,V024-3,3/15: The birthday celebration of Wengong yuanshuai 温公元帅.,[]
06-01,06-01,V024-4,6/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V024-5,"7/23: The birthday celebration of Zhanggong shengjun 张公圣君. (Opera is performed according to neighborhoods. Each time, opera is performed for two days.)",['Zhanggong shengjun']
03-13,03-13,V025-1,3/13: The birthday celebration of Qianshi shengfei 钱氏仙妃.,['Qianshi shengfei']
06-15,06-15,V025-2,6/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V025-3,"7/23: The birthday celebration of Zhanggong shengjun 张公圣君. Every year, opera is performed twice in the village. Zhu Guangdi 朱光地, a Singaporean Chinese, donated the funds to cover the cost of the performances and the construction of the stage. 60–70% of the villagers believe in Christianity. A Christian fellowship is currently being organized.",['Zhanggong shengjun']
03-03,03-03,V026-1,3/3: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人.,"['Houtu furen', 'Zunzhu mingwang']"
03-09,03-09,V026-2,3/9: The celebration of Huanggong ershi 黄公二使.,"['Huanggong', 'Huanggong ershi']"
10-18,10-18,V026-3,"10/18: The celebration of Kongfu daren 孔府大人. On all these occasions, opera is performed and Daoist ritual masters may be invited to conduct rites. These events are organized by the village as a whole, and funds are raised on a per capita basis.",['Kongfu daren']
03-03,03-03,V027-1,3/3: The celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
04-11,04-11,V027-2,4/11: The celebration of Cigan shengfei 慈感圣妃.,[]
05-18,05-18,V027-3,5/18: The celebration of Wang Lingguan 王灵官. Marionette plays are performed.,[]
06-01,06-01,V027-4,6/1: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
10-18,10-18,V027-5,10/18: The celebration of Kongfu daren 孔府大人.,['Kongfu daren']
02-25,02-25,V028-1,2/25: The celebration of Qitian dasheng 齐天大圣 is organized by the Chen 陈.,['Qitian dasheng']
03-01,03-01,V028-2,3/1: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized by the village as a whole.,"['Houtu furen', 'Zunzhu mingwang']"
03-28,03-28,V028-3,3/28: The celebration of Zhusheng dadi 注生大帝 is organized by the 陈. The celebration of Cigan xianfe 慈感仙妃 is organized by the Qiu 邱. The celebration of Guanyin dashi 观音大士 is organized by the village as a whole.,"['Guanyin', 'Guanyin dashi', 'Zhusheng dadi']"
09-09,09-09,V028-4,9/9: The celebration of Dutian yuanshuai 都天元帅 is organized by the Qiu 邱.,['Dutian yuanshuai']
10-18,10-18,V028-5,"10/18: The celebration of Kongfu daren 孔府大人 is organized by the village as a whole. On all these occasions, opera is performed and Daoist ritual masters may be invited to conduct rites. Funding is raised on a per capita basis by the organizing group, whether it be the village as a whole, or a particular lineage group.",['Kongfu daren']
04-12,04-12,V028-6,4/12: 6/19:,[]
11-01,11-01,V029-1,11/1: The birthday celebration of Liugong yuanshuai 刘公元帅.,['Liugong yuanshuai']
10-29,10-29,V029-2,10/29: Jihuci 集壶祠 holds the Lanpen pudu 兰盆普度 rites of Universal Deliverance.,[]
03-13,03-13,V030-1,3/13: The birthday celebration of Qianshi shengfei 钱氏圣妃. Opera is performed.,['Qianshi shengfei']
11-01,11-01,V030-2,11/1: The birthday celebration of Liugong yuanshuai 刘公元帅. Opera is performed.,['Liugong yuanshuai']
03-13,03-13,V031-1,3/13: The birthday celebration of Qianshi shengfei 钱氏圣妃.,['Qianshi shengfei']
03-23,03-23,V031-2,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-26,04-26,V031-3,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
06-19,06-19,V031-4,6/19: The birthday celebration of Guanyin dashi 观音大士.,"['Guanyin', 'Guanyin dashi']"
07-01,07-01,V031-5,7/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V031-6,"7/23: The birthday celebration of Zhanggong shengjun 张公圣君. This event is held with Dubian 度边 and Tangbian 塘边 villages. On these occasions, opera is performed, and in some cases Daoist ritual masters are invited to conduct rites. These events are organized by the village as a whole, and funding is raised on a per capita basis.",['Zhanggong shengjun']
05-05,05-05,V032-1,5/5: The birthday celebration of Wuhuang dadi 五皇大帝 is held.,['Wuhuang dadi']
04-26,04-26,V033-1,4/26: The birthday celebration of Yanggong taishi 杨公太师.,['Yanggong taishi']
07-23,07-23,V033-2,7/23: The birthday celebration of Zhanggong shengjun 张公圣君. This is held together with Dongling 东岭 and Tangbian 塘边.,['Zhanggong shengjun']
09-12,09-12,V033-3,9/12: The birthday celebration of the Wuxiong 五兄. Opera is performed for over ten days.,['Wuxiong']
05-05,05-05,V034-1,5/5: The birthday celebration of Wuhuang dadi 五皇大帝.,['Wuhuang dadi']
09-09,09-09,V034-2,9/9: The birthday celebration of Dutian yuanshuai 都天元帅.,['Dutian yuanshuai']
06-18,06-18,V035-1,6/18: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
08-23,08-23,V035-2,8/23: The birthday celebration of Tiangong yuanshuai 田公元帅. Marionette plays are performed.,"['Tiangong', 'Tiangong yuanshuai']"
09-12,09-12,V035-3,9/12: The birthday celebration of Xufu daren 徐府大人.,[]
03-23,03-23,V036-1,"3/23: The birthday celebration of Tianshang shengmu 天上圣母. Opera is performed, and Daoist ritual masters are invited to conduct rituals.",['Tianshang shengmu']
07-16,07-16,V036-2,7/16: The birthday celebration of Sanyi jiaozhu 三一教主. Marionette plays are performed.,['Sanyi jiaozhu']
09-01,09-01,V036-3,"9/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed, and Daoist ritual masters are invited to conduct rituals.","['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V037-1,3/23: The birthday celebration of Tianshang shengmu 天上圣母.,['Tianshang shengmu']
04-16,04-16,V037-2,4/16: The birthday celebration of Jinfu daren 金府大人.,['Jinfu daren']
05-13,05-13,V037-3,5/13: The birthday celebration of Sima shengwang 司马圣王. Marionette plays are performed.,['Sima shengwang']
06-06,06-06,V037-4,6/6: The birthday celebration of Fude zhengshen 福德正神.,['Fude zhengshen']
06-19,06-19,V037-5,6/19: The birthday celebration of Guanyin dashi 观音大士.,"['Guanyin', 'Guanyin dashi']"
07-01,07-01,V037-6,7/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
08-23,08-23,V037-7,8/23: The birthday celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
09-09,09-09,V037-8,9/9: The birthday celebration of Taiyi xiangu 太乙仙姑.,['Taiyi xiangu']
11-22,11-22,V037-9,11/22: The birthday celebration of Zhenggong dutong 郑公都统.,['Zhenggong dutong']
MM-DD,MM-DD,V037-10,"In the 10th lunar month, on a day determined by divination the birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Gonglin zushê 拱林祖社 is held. Opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized by the threefold village ritual alliance, and funds are collected on a per capita basis.",['Zhenggong dutong']
11-22,11-22,V037-11,"11/22: The birthday celebration of Zhenggong dutong 郑公都统. On most of these occasions opera is performed, and Daoist ritual masters are invited to conduct rituals. These events are organized primarily by the village as a whole, and funds are collected on a per capita basis.",['Zhenggong dutong']
04-09,04-09,V038-1,4/9: The birthday celebration of Tiangong yuanshuai 田公元帅. Opera is performed for three days.,"['Tiangong', 'Tiangong yuanshuai']"
04-12,04-12,V038-2,4/12: The birthday celebration of Cigan xianfei 慈感仙妃. Opera is performed.,['Cigan xianfei']
07-01,07-01,V038-3,7/1: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
11-01,11-01,V038-4,"11/1: The birthday celebration of Liugong yuanshuai 刘公元帅. On all these occasions, opera is performed and Daoist ritual masters may be invited to conduct rites. The village organizes these events as a whole, and funds are raised on a per capita basis.",['Liugong yuanshuai']
04-09,04-09,V039-1,4/9: The birthday celebration of Tiangong yuanshuai 田公元帅.,"['Tiangong', 'Tiangong yuanshuai']"
05-16,05-16,V039-2,5/16: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
06-19,06-19,V039-3,6/19: The birthday celebration of Guanyin dashi 观音大士.,"['Guanyin', 'Guanyin dashi']"
07-16,07-16,V039-4,7/16: The birthday celebration of Sanyi jiaozhu 三一教主.,['Sanyi jiaozhu']
07-23,07-23,V039-5,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
08-23,08-23,V039-6,"8/23: The birthday celebration of Tiangong yuanshuai 田公元帅. On all these occasions, opera is performed and Daoist ritual masters are sometimes invited to conduct rites. Funding is raised on a per capita basis by the village as a whole.","['Tiangong', 'Tiangong yuanshuai']"
02-25,02-25,V040-1,2/25: The birthday celebration of Qitian dasheng 齐天大圣 is organized by Xiaqiao 下桥.,['Qitian dasheng']
03-14,03-14,V040-2,3/14: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Shaoxing lishê 绍兴里社 is organized by Xiaqiao 下桥.,"['Houtu furen', 'Zunzhu mingwang']"
03-15,03-15,V040-3,3/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Longxing shangshê 隆兴上社is organized by Dingqiao 顶桥.,"['Houtu furen', 'Zunzhu mingwang']"
04-15,04-15,V040-4,4/15: The birthday celebration of Sanyi jiaozhu 三一教主 is organized by Dingqiao 顶桥.,['Sanyi jiaozhu']
05-05,05-05,V040-5,"5/5: The birthday celebration of Wuhuang dadi 五皇大帝 is organized by Dingqiao 顶桥. On these occasions, opera is performed and Daoist rites are held. The village as a whole, or a particular temple and it’s community or lineage group organizes the event. Funds are collected on a per capita basis.",['Wuhuang dadi']
05-15,05-15,V041-1,5/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V041-2,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
10-18,10-18,V041-3,"10/18: The birthday celebration of Kongfu daren 孔府大人. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",['Kongfu daren']
04-08,04-08,V042-1,4/8: The birthday celebration of Huangdu yuanshuai 黄都元帅.,[]
07-16,07-16,V042-2,7/16: The birthday celebration of Sanyi jiaozhu 三一教主 is organized by the Guilinci 桂林祠.,['Sanyi jiaozhu']
08-03,08-03,V042-3,8/3: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
08-23,08-23,V042-4,"8/23: The birthday celebration of Tiangong yuanshuai 田公元帅. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event (unless otherwise specified) and funds are collected on a per capita basis.","['Tiangong', 'Tiangong yuanshuai']"
03-16,03-16,V043-1,3/16: The birthday celebration of Xuantan yuanshuai 玄坛元帅. Opera is performed.,['Xuantan yuanshuai']
06-24,06-24,V043-2,6/24: The birthday celebration of Puhua tianzun 普化天尊. Opera is performed.,['Puhua tianzun']
06-29,06-29,V043-3,6/29: The birthday celebration of Chensheng faye 陈胜法爷. Opera is performed.,['Chensheng faye']
08-15,08-15,V043-4,"8/15: The birthday celebration of Jialuo dasheng 伽罗大圣. Opera is performed, and Daoist ritual masters are invited to conduct rites.",['Jialuo dasheng']
08-23,08-23,V043-5,8/23: The birthday celebration of Tiangong yuanshuai 田公元帅. Opera is performed.,"['Tiangong', 'Tiangong yuanshuai']"
10-16,10-16,V043-6,"10/16: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed, and Daoist ritual masters are invited to conduct rites.","['Houtu furen', 'Zunzhu mingwang']"
11-27,11-27,V043-7,"11/27: The birthday celebration of Daxiong 大兄. Opera is performed, and Daoist ritual masters are invited to conduct rites. On all these occasions, the village as a whole organizes the event and funds are collected on a per capita basis.",['Daxiong']
03-08,03-08,V044-1,3/8: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
05-05,05-05,V044-2,5/5: The birthday celebration of Lufu dashen 鲁府大神.,[]
07-23,07-23,V044-3,7/23: The birthday celebration of Zhanggong shengjun 张公圣君.,['Zhanggong shengjun']
10-18,10-18,V044-4,10/18: The birthday celebration of Kongfu daren 孔府大人.,['Kongfu daren']
05-01,05-3,V045-1,5/1–3: the celebration of Sanwei zhenjun 三位真君 is held with opera.,[]
07-19,07-20,V045-2,7/19–20: The birthday celebration of Zhanggong shengjun 张公圣君 of the Dejitang 德济堂. The god is invited to watch opera.,['Zhanggong shengjun']
08-01,08-01,V045-3,8/1: The celebration of Qianshi shengfei 钱氏圣妃 is held with opera.,['Qianshi shengfei']
10-11,10-11,V045-4,10/11: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
03-26,03-26,V046-1,"3/26: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held with opera, in rotation with Houshê 后社 village.","['Houtu furen', 'Zunzhu mingwang']"
07-18,07-18,V046-2,7/18: The birthday celebration of Zhanggong shengjun 张公圣君 is held with opera.,['Zhanggong shengjun']
03-26,03-26,V047-1,"3/26: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized in rotation with Houdai 后埭, Yuanding 园顶, and Qubian 屈边 villages.","['Houtu furen', 'Zunzhu mingwang']"
07-16,07-16,V047-2,"7/16: The birthday celebration of Sanyijiao 三一教主 is organized in rotation with Houdai 后埭, Yuanding 园顶, and Qubian 屈边.",[]
09-09,09-09,V047-3,9/9: The birthday celebration of Dutian yuanshuai 都天元帅 is held with opera.,['Dutian yuanshuai']
03-26,03-26,V048-1,3/26: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized in rotation with Yuanding 园顶.,"['Houtu furen', 'Zunzhu mingwang']"
05-13,05-13,V048-2,5/13: The celebration of Xietian dadi 协天大帝 is held with opera. This event is co-organized and co-sponsored (on a per capita basis) with Yuanding 园顶 village.,['Xietian dadi']
03-10,03-10,V049-1,3/10: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Marionette plays are performed.,"['Houtu furen', 'Zunzhu mingwang']"
10-01,10-01,V049-2,10/1: The birthday celebration of Cuifu dama 崔府大妈 is held with two days of opera.,['Cuifu dama']
03-10,03-10,V050-1,3/10: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V050-2,3/23: The birthday celebration of Tianhou shengmu 天后圣母. Marionette plays are performed.,['Tianhou shengmu']
