UID_V,name,name_zh,irrigation_region,population
V066,Houdai,后戴,Southern,1700
V067,Goudong,沟东,Southern,300
V068,Shangdun,上墩,Southern,800
V069,腰沟,Yaogou,Southern,500
V070,Peiwei,沛尾,Southern,300
V071,Xijiao,西角,Southern,965
V072,Zhongjing,中境,Southern,300
V073,Xiahe,下何,Southern,949
V074,Huangcuoli,黄厝里,Southern,400
V075,Houxiang,后巷,Southern,1000
V076,Dalu,大路,Southern,200
V077,Shanping,山坪,Southern,650
V078,Hongshan,红山,Southern,242
V079,Shanxiang,善乡,Southern,
V080,Dingcuo,顶厝,Southern,600
V081,Dingsong,顶宋,Southern,600
V082,Xiasong,下宋,Southern,900
V083,Xili,西利,Southern,866
V084,Xiating,下亭,Southern,600
V085,Houli,后利,Southern,500
V086,hangqiao,樟桥,Southern,1500
V087,Yangcheng,洋埕,Southern,4366
V088,Qiantang,钱塘,Southern,2000
V089,Lingding,岭顶,Southern,551
V090,Houxu,后许,Southern,600
V091,Houyuan,后院,Southern,500
V092,Huangyuan,黄园,Southern,600
V093,Xiazhuang,下庄,Southern,1500
V094,Shangkeng,上坑,Southern,300
V095,Tangtou,塘头,Southern,500
V096,Dongzhu,东洙,Southern,900
V097,Lukeng,卢坑,Southern,492
V098,Shandou,山兜,Southern,185
V099,Yaotai,瑶台,Southern,3900
V100,Dingzhuang,定庄,Southern,2000
V101,Changchuan,长川,Southern,500
V102,Xiaban,下阪,Southern,1300
V103,Tiancuo,田厝,Southern,1200
V104,Shangyuanqian,上院前,Southern,408
V100,定庄,1.,Southern,2000
V101,Changchuan,长川,Southern,500
V102,Xiaban,下阪,Southern,1300
V014,Tiancuo,田厝,Southern,1200
V105,Xiayuanqian,下院前,Southern,300
V106,Guiling,桂岭,Southern,500
V107,Tingxia,亭下,Southern,415
V108,Dongjing,东井,Southern,560
V109,Tangwei,塘尾,Southern,600
V110,Shuyuankou,书院口,Southern,500
V111,Shixia,市下,Southern,800
V112,Shuangxingjing,双星井,Southern,600
V113,Anxing,安兴,Southern,1000
V114,Qiaotou,桥头,Southern,1000
V115,Xicuo,西厝,Southern,700
V116,Bantou,阪头,Southern,1200
V117,Shêqian,社前,Southern,600
V118,Shuxia,树下,Southern,600
V119,Tianba,田坝,Southern,400
V120,Jindun,金墩,Southern,840
V121,Longdu,龙渡,Southern,800
V122,Wucheng,吾埕,Southern,500
V123,Chengwei,埕尾,Southern,700
V124,Kengbing,坑柄,Southern,500
V125,Keli,珂里,Southern,650
V126,Xiahu,下湖,Southern,500
V127,Qingzhong,清中,Southern,2800
V128,Qinghou,清后,Southern,3400
V129,Qingqian,清前,Southern,4000
V130,Xihong,西洪,Southern,6000
V131,Qiaodou,桥兜,Southern,1000
V132,Xiajiangtou,下江头,Southern,2500
V133,Xiadai,下埭,Southern,2300
V134,Xili,西利,Southern,1500
V135,Yudai,余埭,Southern,600
V136,Lindun,林墩,Southern,700
V137,Jiangxi,江西,Southern,400
V138,Longhua,龙华,Southern,300
V139,Jiangdong,江东,Southern,
V140,Haibin,海滨,Southern,3000
V141,Zhelang,遮浪,Southern,4000
V142,Huadi,华堤,Southern,2700
V143,Huazhong,华中,Southern,4000
V144,Huadong,华东,Southern,4000
V145,Jingpu,井埔,Southern,2000
V146,Houzhu,后洙,Southern,1200
V147,Tadou,塔兜,Southern,100
V148,Changkeng,长坑,Southern,300
V149,Wulong,五龙,Southern,1000
V150,Goubian,沟边,Southern,1800
V151,Daomei,道美,Southern,1100
V152,Wuxiang,梧巷,Southern,1200
V153,Dongzhang,东张,Southern,728
V154,Xizhang,西张,Southern,1000
V155,Zhucuo,朱厝,Southern,834
V156,Xigou,西沟,Southern,900
V157,Xiyuan,西园,Southern,380
V158,Kangcuo,康厝,Southern,560
V159,Wucuo,吴厝,Southern,678
V160,Shanqianzi,山前仔,Southern,167
V161,Huiyang,惠洋,Southern,"11,000"
V162,Dongdai,东埭),Southern,4000
V163,Jinshan,金山,Southern,4278
V164,Dongjia,东甲,Southern,"10,000"
V165,Shangzou,上邹,Southern,2400
V166,Xiazou,下邹,Southern,5000
V167,Dongcuo,东厝,Southern,1300
V168,Zhengcuo,郑厝,Southern,1500
V169,Dounan,斗南,Southern,2000
V170,Pingshan,屏山),Southern,3000
V171,Dongxiang,东乡,Southern,2000
V172,Houji,后积,Southern,1000
V173,Qicuo,歧厝,Southern,600
V174,Yangbian,洋边,Southern,600
V175,Qianchengkou,前程口,Southern,1800
V176,Louxia,楼下,Southern,400
V177,Houchengkou,后程口,Southern,1600
V178,Chengbian,埕边,Southern,2000
V179,Xiachen,下陈,Southern,
V180,Gouge,沟戈,Southern,1200
V181,Matou,码头,Southern,1000
V182,Fangjing,坊井,Southern,600
V183,Shecuo,社厝,Southern,1200
V184,Beigao,北高,Southern,2000
V185,Shangkengyuan,上坑园,Southern,600
V186,Xiakengyuan,下坑园,Southern,850
V187,Dongdu,东渡,Southern,300
V188,Lingtou,岭头,Southern,600
V189,Muqian,墓前,Southern,725
V190,Shangyuanhou,上院后,Southern,600
V191,Xiayuanhou,下院后,Southern,2000
V192,Qiandun,前墩,Southern,600
V193,Zhengtang,郑塘,Southern,1350
V194,Songmu,宋墓,Southern,600
V195,Shantou,山头,Southern,900
V196,Chuandu,船渡,Southern,1000
V197,Lantian,蓝田,Southern,1500
V198,Houhu,后湖,Southern,346
V199,Guanpu,官埔,Southern,1500
V200,Xiazheng,下郑,Southern,4000
V201,Shangxin,上辛,Southern,550
V202,Zhengjing,郑井,Southern,500
V203,Xiaketang,下可塘,Southern,1200
V204,Shangketang,上可塘,Southern,900
V205,Dingxi,顶溪,Southern,500
V206,Laizhai,濑宅,Southern,1000
V207,Caomang,草莽,Southern,2600
V208,Sutang,苏塘,Southern,1000
V209,Xinxu,新徐,Southern,1000
V210,Jiuxu,旧徐,Southern,400
V211,Mubing,墓柄,Southern,600
V212,Shidou,石兜,Southern,154
V213,Chencuo,陈厝,Southern,400
V214,Wucuo,吴厝,Southern,1360
V215,Houhuang,后黄,Southern,1000
V216,Houjing,后井,Southern,900
V217,Daqiu,大丘,Southern,2600
V218,Fulushan,福禄山,Southern,1000
V219,Linbing,林柄,Southern,260
V220,Dingshê,顶社,Southern,5000
V221,Beipu,北埔,Southern,3000
V222,Shangbabian,上坝边,Southern,500
V223,Xiababian,下坝边,Southern,700
V224,Tianyang,田洋,Southern,300
V225,Cangdian,苍店,Southern,650
V226,Xiadian,下店,Southern,500
V227,Lincuo,林厝,Southern,600
V228,Dongjin,东津,Southern,600
V229,Shanding,山顶,Southern,600
V230,Kengwei,坑尾,Southern,500
V231,Dongzhuo,东卓,Southern,500
V232,Xizhuo,西卓,Southern,
V233,Huanglin,黄林,Southern,500
V234,Yuntang,云塘,Southern,200
V235,Xucuo,徐厝,Southern,700
V236,Songting,松亭,Southern,360
V237,Houshê,后社,Southern,700
V238,Linkeng,林坑,Southern,350
V239,Dengaotou,登鳌头,Southern,1500
V240,Yuanqian,院前,Southern,300
V241,Qianzheng,前郑,Southern,500
V242,Xijin,西津,Southern,200
V243,Yangshan,杨山,Southern,1000
V244,Chicen,赤岑,Southern,600
V245,Xicai,西蔡,Southern,1000
V246,Lingxi,岭下,Southern,1700
V247,Qianlin,前林,Southern,400
V248,Shanglin,上林,Southern,600
V249,Dapu,大埔,Southern,650
V250,Xiawei,下尾,Southern,700
V251,Dinggu,定固,Southern,400
V252,Houzhu,后洙,Southern,400
V253,Xishan,西山,Southern,400
V254,Bitou,泌头,Southern,1000
V255,Shandou,山兜,Southern,400
V256,Dongpuyu,东埔余,Southern,1000
V257,Yicuo,蚁厝,Southern,300
V258,Houdong,后董,Southern,600
V259,Meilin,梅林,Southern,450
V260,Chenshantou,陈山头,Southern,2000
V261,Xiazhuang,下庄,Southern,100
V262,Dapu,大埔,Southern,1900
V263,Yangmian,洋面,Southern,200
V264,Dongguo,东郭,Southern,400
V265,Haizao,亥灶,Southern,700
V266,Bancuo,板厝,Southern,350
V267,Houcuo,侯厝,Southern,400
V268,Qiaotou,桥头,Southern,200
V269,Xiaxi,下西,Southern,100
V270,Lingui,林桂,Southern,1000
V271,Mazhukeng,马竹坑,Southern,240
V272,Pengmu,彭墓,Southern,160
V273,Chisong,赤松,Southern,400
V274,Shanglin,上林,Southern,200
V275,Xuke,徐柯,Southern,500
V276,Xiayu,下余,Southern,500
V277,Xintang,新塘,Southern,1800
V278,Gouwei,village,Southern,1300
V279,Qinwei,沁尾,Southern,500
V280,Longtou,龙头,Southern,500
V281,Xipu,西埔,Southern,750
V282,Shangdaban,上大坂,Southern,1000
V283,Xiadaban,下大坂,Southern,1100
V284,Mokengli,磨坑里,Southern,500
V285,Huangtoupu,黄头埔,Southern,500
V286,Kengbei,坑北,Southern,500
V287,Baita,白塔,Southern,450
V288,Liucuo,刘厝,Southern,200
V289,Yingbian,营边,Southern,600
V290,Caicuo,菜厝,Southern,800
V291,Qicuo,岐厝,Southern,2000
V292,Dongsong,东宋,Southern,1500
V293,Xiting,西亭,Southern,380
V294,Lingcuo,凌厝,Southern,600
V295,Xiagou,下沟,Southern,200
V296,Goujinyang,沟津洋,Southern,1000
V297,Hengtang,横塘,Southern,4000
V298,Yushang,屿上),Northern,1000
V299,Huangtou,黄头,Northern,900
V300,Caizhai,蔡宅),Northern,700
V301,Xialin,下林,Northern,3000
V302,Dongpo,东坡,Northern,2700
V303,Xiahuang,下黄,Northern,560
V304,Xiadu,下度,Northern,700
V305,Huangcuo,黄厝,Northern,380
V306,Xiadaiwei,下埭尾,Northern,500
V307,Shangdaiwei,上埭尾,Northern,500
V308,Houdun,后墩,Northern,250
V309,Shêcuo,社厝,Northern,300
V310,Xiaocuo,肖厝,Northern,700
V311,Bantou,坂头,Northern,3000
V312,Liuqiao,柳桥,Northern,600
V313,Dingdun,顶墩,Northern,1400
V314,Wudun,梧墩,Northern,665
V315,Goutou,沟头,Northern,3000
V316,Xiaotang,筱塘,Northern,2300
V317,Nanmen,南门,Northern,5000
V317d,Gouwei,沟尾,Northern,1300
V318,Beimo,北磨,Northern,500
V319,Daxi,大溪,Northern,300
V320,Xiamo,下磨,Northern,600
V321,Qianpu,前埔,Northern,200
V322,Xiaxie,下斜,Northern,500
V323,Anfu,安福),Northern,900
V324,Longqiaojie,龙桥街,Northern,1000
V325,Dinglongqiao,顶龙桥,Northern,1000
V326,Xiagongli,下宫里,Northern,400
V327,Tudihou,土地后,Northern,
V328,Xishan,西山,Northern,1000
V329,Shiding,石顶,Northern,437
V330,Laoyeshu,老叶树,Northern,400
V331,Yanshou,延寿,Northern,1200
V332,Ouxuwei,欧徐尾,Northern,300
V333,Xiapo,下坡,Northern,600
V334,Xitou,西头,Northern,600
V335,Shanglin,上林,Northern,1800
V336,Gaojing,高井,Northern,400
V337,Gegou,隔沟,Northern,300
V338,Chenmendou,辰门兜,Northern,1300
V339,Gouxia,沟下,Northern,300
V340,Yimen,义门,Northern,800
V341,Xigeng,西庚,Northern,1000
V342,Xiadai,下戴,Northern,500
V343,Tantouqiao,潭头桥,Northern,150
V344,Dongmendou,东门兜,Northern,100
V345,Meihuating,梅花亭,Northern,600
V346,Fengmei,丰美,Northern,1000
V347,Xishê,西社,Northern,700
V348,Liantang,莲塘,Northern,222
V349,Xiadun,下墩,Northern,1000
V350,Kuokou,阔口,Northern,1800
V351,Gushan,古山,Northern,1400
V352,Hougong,后龚,Northern,
V353,Qianpu,前浦,Northern,300
V354,Sheqian,社前,Northern,306
V355,Jiaoxi,郊西,Northern,500
V356,Huangdun,黄墩,Northern,400
V357,Jiaodong,郊东,Northern,1000
V358,Zhongshê,中社,Northern,675
V359,Heshê,何社,Northern,975
V360,Punan,浦南,Northern,300
V361,Dongzhou,东洲,Northern,320
V362,Dongjiao,东郊,Northern,250
V363,Doumentou,陡门头,Northern,158
V364,Caozhu,草渚,Northern,1000
V365,Nanji,南箕,Northern,1500
V366,Jiangbian,江边,Northern,700
V367,Zhudun,朱墩,Northern,400
V368,Qianbudun,前布墩,Northern,300
V369,Houbudun,后布墩,Northern,800
V370,Xizhu,西洙,Northern,4000
V371,Dongyang,东阳,Northern,1000
V372,Gouxi,沟西,Northern,325
V373,Dongdai,东埭,Northern,500
V374,Xuqiao,徐桥,Northern,300
V375,Xishi,西施,Northern,228
V376,Wutang,梧塘,Northern,200
V377,Goumei,沟美,Northern,212
V378,Changshan,畅山,Northern,800
V379,Putou,浦头,Northern,568
V380,Daba,大坝,Northern,630
V381,Xitou,溪头,Northern,972
V382,Jiaonan,郊南,Northern,
V383,Jiaobei,郊北,Northern,300
V384,Xikou,溪口,Northern,200
V385,Xiananjiao,下南郊,Northern,1000
V386,Xiyang,西洋,Northern,2000
V387,Weicuo,尾厝,Northern,600
V388,Xiacuo,下厝,Northern,300
V389,Xiangli,衖里,Northern,300
V390,Gongdou,宫兜,Northern,500
V391,Xiating,下亭,Northern,800
V392,Siting,四亭,Northern,600
V393,Jiaoxia,郊下,Northern,1000
V394,Xizhang,西漳,Northern,500
V395,Xiting,西亭,Northern,240
V396,Qiandun,前墩,Northern,575
V397,Houdun,后墩,Northern,900
V398,Chennnan,辰南,Northern,200
V399,Jiaoxiali,郊下里,Northern,800
V400,Chenqiao,陈桥,Northern,2500
V401,Houdun,后墩,Northern,1000
V402,Hanba,涵坝,Northern,100
V403,Shanbu,山步,Northern,200
V404,Wujiao,梧郊,Northern,800
V405,Lantian,蓝田,Northern,500
V406,Yakou,牙口,Northern,300
V407,Shangyu,上俞,Northern,1000
V408,Houting,后亭,Northern,700
V409,Daicheng,岱埕,Northern,1600
V410,Xihu,西湖,Northern,400
V411,Duxia,度下,Northern,500
V412,Jikui,集奎),Northern,1100
V413,Hougong,后宫,Northern,500
V414,Houxue,后学,Northern,600
V415,Dongting,东亭),Northern,
V416,Dongdun,东墩,Northern,922
V417,Lijiao,李角,Northern,1000
V418,Xidun,西墩,Northern,500
V419,Houtou,后头,Northern,400
V420,Tangbian,塘边,Northern,700
V421,Xilin,西林,Northern,500
V422,Zhenqian,镇前,Northern,3000
V423,Zhenjiang,镇江,Northern,3000
V424,Xiaohu,孝户,Northern,600
V425,Nancheng,南埕,Northern,2000
V426,Dingcuo,顶厝,Northern,500
V427,Xiazheng,下郑,Northern,1000
V428,Kongli,孔里,Northern,500
V429,Yangxi,洋西,Northern,1200
V430,Shandou,山兜,Northern,500
V431,Houdun,后墩,Northern,1000
V432,Xiating,下亭,Northern,400
V433,Qiandun,前墩,Northern,700
V434,Shangguo,上郭,Northern,500
V435,Taofeng,桃峰,Northern,800
V436,Baidu,白杜,Northern,500
V437,Tangbian,塘边,Northern,500
V438,Gelong,隔垄,Northern,425
V439,Luding,路顶,Northern,200
V440,Xiaxi,下溪,Northern,900
V441,Xiatou,下头,Northern,800
V442,Qixi,企溪,Northern,800
V443,Hantou,汉头,Northern,300
V444,Gushan,古山,Northern,200
V445,Dongban,东坂,Northern,300
V446,Donghu,洞湖,Northern,3600
V447,Xiguo,西锅,Northern,100
V448,Duxi,度西,Northern,100
V449,Houpu,后埔,Northern,1500
V450,Shanghuang,上黄,Northern,154
V451,Linfeng,林峰,Northern,500
V452,Kengbian,坑边,Northern,150
V453,Kengtou,坑头,Northern,400
V454,Chenglin,澄林,Northern,1000
V456,Guantang,官塘,Northern,500
V457,Xitianwei,西天尾,Northern,5000
V458,Miaoqian,庙前,Northern,1000
V459,Yuli,俞里,Northern,400
V460,Xiazheng,霞郑,Northern,400
V461,Shuiliuli,水流利,Northern,600
V462,Banludian,半路店,Northern,300
V463,Donghuang,东黄,Northern,500
V464,Xi’an,溪安,Northern,380
V465,Daqiaotou,大桥头,Northern,440
V466,Houting,后亭,Northern,100
V467,Xishan,西山,Northern,230
V468,Wushi,乌石,Northern,160
V469,Beishan,北山,Northern,440
V470,Xincun,新村,Northern,200
V471,Zhenxia,圳下,Northern,500
V472,Chendun,陈墩,Northern,500
V473,Houlu,后炉,Northern,500
V474,Beijiao,北郊,Northern,300
V475,Jiaoxia,郊下,Northern,400
V476,Dagou,大沟,Northern,900
V477,Xizheng,西郑,Northern,600
V478,Shanghuang,上黄,Northern,1200
V479,Zhuxiang,朱衖,Northern,1000
V480,Zhengdun,郑墩,Northern,300
V481,Chaiqiaotou,柴桥头,Northern,300
V482,Shanglindun,上林墩,Northern,200
V483,Jiaodong,郊东,Northern,1800
V484,Jiaoxi,郊西,Northern,600
V485,Paohudun,袍笏墩,Northern,1000
V486,Wujiang,吴江),Northern,3700
V487,Shanglin,上林,Northern,750
V489,Xikou,溪口,Northern,800
V490,Youqiaotou,游桥头,Northern,1000
V491,Caidai,dongzhi,Northern,730
V492,Caidai,xizhi,Northern,524
V493,Qianhuang,前黄,Northern,700
V494,Xiacheng,下澄,Northern,400
V495,Xiagao,下高,Northern,410
V496,Shangguo,上郭,Northern,1000
V497,Qianting,前亭,Northern,200
V498,Ketang,柯塘,Northern,1300
V499,Weitang,魏塘,Northern,800
V500,Guozhuang,郭庄,Northern,800
V501,Dongdun,东墩,Northern,1000
V502,Puqian,铺前,Northern,450
V503,Xigang,西港,Northern,400
V504,Zhuangcuo,庄厝,Northern,200
V505,Yangchi,洋池,Northern,500
V506,Xiayang,下洋,Northern,227
V507,Houting,后亭,Northern,600
V508,Xiayu,下宇,Northern,100
V509,Beigang,北港,Northern,800
V510,Zhoudun,周墩,Northern,600
V511,Xiajiang,下江,Northern,800
V512,Xiafang,下坊,Northern,300
V513,Jiakou,加口,Northern,300
V514,Tiancen,田岑,Northern,500
V515,Lidun,利墩,Northern,643
V516,Houzheng,后郑,Northern,500
V517,Xingang,新港,Northern,200
V518,Daduxia,大度下,Northern,600
V519,Shangzheng,上郑,Northern,170
V520,Jiangwei,江尾,Northern,500
V521,Jiangbian,江边,Northern,600
V522,Meilou,美楼,Northern,1000
V523,Chongshê,崇社,Northern,400
V524,Waiduxia,外度下,Northern,300
V525,Songbaige,松柏戈,Northern,200
V526,Ganyuan,柑园,Northern,500
V527,Nanshan,南山,Northern,300
V528,Hongdu,洪度,Northern,1000
V529,Jiaqiu,九坵,Northern,400
V530,Xiacuo,下厝,Northern,700
V531,Guocuo,郭厝,Northern,300
V532,Shanghouting,上后亭,Northern,300
V533,Beicheng,北埕,Northern,350
V534,Dongzhang,东张,Northern,895
V535,Tiancuo,田厝,Northern,400
V536,Dengcuo,邓厝,Northern,-1
V537,Niushan,牛山,Northern,
V538,Qinwei,沁尾,Northern,850
V539,Xiatiancuo,下田厝,Northern,400
V540,Weiyang,渭阳,Northern,1100
V541,Jingtou,井头,Northern,800
V542,Xiake,下柯,Northern,492
V543,Shanhou,山后,Northern,1000
V544,Xiyang,西洋,Northern,300
V545,Houyang,后洋,Northern,400
V546,Gelong,隔垄,Northern,500
V547,Tiancuo,田厝,Northern,800
V548,Houhuang,后黄),Northern,1000
V549,Loutou,漏头,Northern,2200
V550,Fangzhuang,方庄,Northern,
V551,Linwai,林外,Northern,1700
V552,Meiling,梅岭,Northern,738
V553,Xizhuang,西庄,Northern,2200
V554,Taibaizhuang,太白庄,Northern,853
V555,Fuxingshê,福兴社,Northern,593
V556,Dongpai,东牌,Northern,2000
V557,Xialou,霞楼,Northern,2100
V558,Wuzi,梧梓,Northern,1000
V559,Daopu,道埔,Northern,1000
V560,Sizhou,泗洲,Northern,535
V561,Siying,泗营,Northern,500
V562,Xiaojia,肖甲,Northern,1500
V563,Zhixiang,直巷,Northern,2000
V565,Xiangtou,巷头,Northern,200
V566,Lingqian,岭前,Northern,500
V567,Pudun,埔墩,Northern,400
V568,Dingcuowei,顶厝尾,Northern,500
V569,Putou,埔头,Northern,900
V571,Lianhecun,联合村,Northern,900
V572,Dinggou,顶沟,Northern,400
V573,Shipaidou,石牌兜,Northern,400
V575,Matou,码头,Northern,1200
V576,Dubin,都邠,Northern,2500
V577,Xiujiao,秀郊,Northern,700
V578,Chengfeng,澄峰,Northern,700
V579,Dongpo,东坡,Northern,5000
V580,Nankeng,南坑,Northern,360
V581,Xiaxiao,霞宵,Northern,1000
V582,Huangxiang,黄巷,Northern,2000
V583,Xialin,下林,Northern,600
V584,Cangkou,苍口,Northern,2000
V585,Xilin,西林,Northern,260
V586,Xipo,西坡,Northern,800
V587,Qindong,沁东,Northern,2000
V588,Qinxi,沁西,Northern,2000
V589,Dongxu,东徐,Northern,400
V590,Nanpu,南埔,Northern,700
V591,Dongzhu,东珠,Northern,670
V591,Dongzhu,东珠,Northern,670
V592,Houlin,后林,Northern,1000
V593,Xizhai,西宅,Northern,500
V593,Xizhai,西宅,Northern,500
V594,Xiashanglin,下上林,Northern,1000
V595,Dingshanglin,顶上林,Northern,216
V596,Donglin,东林,Northern,220
V597,Yupo,喻坡,Northern,1500
V598,Tangxi,塘西,Northern,2400
V599,Zhuopo,卓坡),Northern,3000
V600,Louxia,楼下,Northern,-1
V601,Baowei,保尾,Northern,-1
V602,Tangbei,塘北,Northern,-1
V603,Puwei,铺尾,Northern,1500
V604,Cangran,苍然,Northern,-1
V605,Yanning,延宁,Northern,
V606,Xiaxu,霞徐,Northern,
V607,Lindun,林墩,Northern,200
V608,Gangtou,港头,Northern,500
V609,Tianwei,田尾,Northern,400
V610,Qianlin,前林,Northern,500
V611,Zhanggongdun,张公墩,Northern,180
V612,Sudun,苏墩,Northern,600
V613,Weicuo,尾厝,Northern,80
V614,Ludun,卢墩,Northern,200
V615,Tianzhongyang,田中央,Northern,500
V616,Sangu,三股,Northern,2000
V617,Xinpo,新坡,Northern,3000
V618,Xiangli,巷利,Northern,1200
V619,Tanwei,潭尾,Northern,1800
V620,Huangcuo,黄厝,Northern,1000
V621,Houyang,后洋,Northern,2000
V622,Dongting,洞庭,Northern,4000
V623,Linbin,林柄,Northern,1500
V624,Puwei,埔尾,Northern,700
V625,Sucuo,苏厝,Northern,3280
V626,Zhongdun,中墩,Northern,800
V627,Jindun,金墩,Northern,1000
V628,Yangzhong,洋中,Northern,1200
V629,Tiezao,铁灶),Northern,6000
V630,Wencuo,温厝,Northern,317
V631,Huangdating,黄大庭,Northern,300
V632,Liuan,刘安,Northern,1000
V633,Houguo,后郭,Northern,3600
V634,Tiantou,田头,Northern,1000
V635,Houdong,后董,Northern,300
V636,Houhuang,后黄,Northern,580
V637,Aoli,澳里,Northern,600
V638,Xiashê,下社,Northern,500
V639,Xiake,下柯,Northern,1200
V640,Dingke,顶柯,Northern,500
V641,Qitou,歧头,Northern,2400
V642,Dongcheng,东埕,Northern,400
V643,Shishan,石山,Northern,3300
V644,Xinpotou,新坡头,Northern,400
V645,Shangmei,上梅,Northern,300
V646,Houzeng,后曾,Northern,-1
V647,Dongzeng,东曾,Northern,500
V648,Xilin,西林,Northern,1540
V649,Dongfang,东坊,Northern,1200
V650,Lingdou,岭兜,Northern,400
V651,Duoqian,哆前,Northern,3000
V652,Duozhong,哆中,Northern,3000
V653,Duohou,哆后,Northern,6000
V654,Fengxiu,凤秀,Northern,500
V655,Bancheng,半埕,Northern,900
V656,Shangfang,上方,Northern,680
V657,Shanggang,上港,Northern,600
V658,Meiwei,美尾,Northern,1500
V659,Xinpu,新浦),Northern,3000
V660,Xiaoyi,孝义,Jiuliyang,
V661,Xiahoudu,下后度,Jiuliyang,300
V662,Liujing,刘井,Jiuliyang,1300
V663,Qianhui,前会,Jiuliyang,300
V664,Duweitou,度围头,Jiuliyang,600
V665,Gangxia,港下,Jiuliyang,1500
V666,Houdun,后墩,Jiuliyang,1400
V667,Xinjing,新井,Jiuliyang,300
V668,Qianwang,前王,Jiuliyang,1000
V669,Shihui,石灰,Jiuliyang,380
V670,Shantou,山头,Jiuliyang,100
V671,Youlan,油岚,Jiuliyang,380
V672,Shishi,石狮,Jiuliyang,4000
V673,Goushang,沟上,Jiuliyang,3000
V674,Zheche,蔗车,Jiuliyang,
V675,Licuo,李厝,Jiuliyang,2000
V676,Xindian,新店,Jiuliyang,
V677,Xindun,新墩,Jiuliyang,1700
V678,Houchengpu,后埕埔,Jiuliyang,500
V679,Qianmian,前面,Jiuliyang,2000
V680,Ding,dun,Jiuliyang,700
V681,Xiadun,下墩,Jiuliyang,300
V682,Wudun,吴墩,Jiuliyang,
V683,Youdun,游墩,Jiuliyang,800
V684,Shanglin,上林,Jiuliyang,500
V685,Dongshi,东施,Jiuliyang,600
V686,Pucheng,埔埕,Jiuliyang,1300
V687,Xiliu,西刘,Jiuliyang,1000
V688,Dongcai,东蔡,Jiuliyang,1000
V689,Jiexia,界下,Jiuliyang,300
V690,Houting,后亭,Jiuliyang,
V691,Wudunyang,吴墩洋,Jiuliyang,500
V692,Dingjiucuo,顶旧厝,Jiuliyang,300
V693,Qigancuo,旗杆厝,Jiuliyang,700
V694,Xiaojiaowei,小郊尾,Jiuliyang,-1
V695,Tiezao,铁灶,Jiuliyang,1000
V696,Tianzhongyang,田中央,Jiuliyang,1000
V697,Sanzhangcuo,三张厝,Jiuliyang,
V698,Zhaili,寨里,Jiuliyang,
V699,Zhongyangcuo,中央厝,Jiuliyang,
V700,Qiaotouwai,桥头外,Jiuliyang,
V701,Yuanyangcuo,鸳鸯厝,Jiuliyang,
V702,Dingxipo,顶西坡,Jiuliyang,
V703,Xiaxipo,下西坡,Jiuliyang,
V704,Bangui,半圭,Jiuliyang,
